method,nominal,empirical,gap
seasonal_naive,0.01,0.04644808743169399,0.03644808743169399
seasonal_naive,0.02,0.06830601092896176,0.04830601092896175
seasonal_naive,0.03,0.08265027322404371,0.05265027322404371
seasonal_naive,0.04,0.09221311475409837,0.052213114754098365
seasonal_naive,0.05,0.10245901639344263,0.05245901639344262
seasonal_naive,0.1,0.16325136612021857,0.06325136612021856
seasonal_naive,0.15,0.25546448087431695,0.10546448087431695
seasonal_naive,0.2,0.3476775956284153,0.14767759562841531
seasonal_naive,0.25,0.41939890710382516,0.16939890710382516
seasonal_naive,0.3,0.4924863387978142,0.19248633879781424
seasonal_naive,0.35,0.5450819672131147,0.19508196721311477
seasonal_naive,0.4,0.5819672131147541,0.18196721311475406
seasonal_naive,0.45,0.6120218579234973,0.16202185792349727
seasonal_naive,0.5,0.6495901639344263,0.14959016393442626
seasonal_naive,0.55,0.6769125683060109,0.12691256830601083
seasonal_naive,0.6,0.7096994535519126,0.10969945355191257
seasonal_naive,0.65,0.7363387978142076,0.08633879781420761
seasonal_naive,0.7,0.782103825136612,0.08210382513661207
seasonal_naive,0.75,0.8271857923497268,0.07718579234972678
seasonal_naive,0.8,0.8613387978142076,0.06133879781420759
seasonal_naive,0.85,0.9118852459016393,0.06188524590163935
seasonal_naive,0.9,0.9412568306010929,0.041256830601092864
seasonal_naive,0.95,0.9733606557377049,0.02336065573770496
seasonal_naive,0.96,0.9781420765027322,0.01814207650273225
seasonal_naive,0.97,0.9863387978142076,0.016338797814207662
seasonal_naive,0.98,0.9924863387978142,0.012486338797814245
seasonal_naive,0.99,0.9972677595628415,0.007267759562841536
climatology,0.01,0.0,-0.01
climatology,0.02,0.001366120218579235,-0.018633879781420764
climatology,0.03,0.001366120218579235,-0.028633879781420762
climatology,0.04,0.0020491803278688526,-0.037950819672131146
climatology,0.05,0.00273224043715847,-0.04726775956284153
climatology,0.1,0.0047814207650273225,-0.09521857923497268
climatology,0.15,0.012295081967213115,-0.1377049180327869
climatology,0.2,0.07923497267759563,-0.12076502732240438
climatology,0.25,0.20150273224043716,-0.04849726775956284
climatology,0.3,0.35655737704918034,0.056557377049180346
climatology,0.35,0.47950819672131145,0.12950819672131147
climatology,0.4,0.5915300546448088,0.19153005464480877
climatology,0.45,0.6878415300546448,0.23784153005464476
climatology,0.5,0.7575136612021858,0.2575136612021858
climatology,0.55,0.8155737704918032,0.2655737704918032
climatology,0.6,0.8476775956284153,0.2476775956284153
climatology,0.65,0.8777322404371585,0.22773224043715845
climatology,0.7,0.9084699453551912,0.20846994535519126
climatology,0.75,0.9344262295081968,0.18442622950819676
climatology,0.8,0.9556010928961749,0.15560109289617485
climatology,0.85,0.9747267759562842,0.12472677595628423
climatology,0.9,0.9877049180327869,0.0877049180327869
climatology,0.95,1.0,0.050000000000000044
climatology,0.96,1.0,0.040000000000000036
climatology,0.97,1.0,0.030000000000000027
climatology,0.98,1.0,0.020000000000000018
climatology,0.99,1.0,0.010000000000000009
lightgbm_full,0.01,0.01092896174863388,0.0009289617486338796
lightgbm_full,0.02,0.01639344262295082,-0.00360655737704918
lightgbm_full,0.03,0.030054644808743168,5.464480874316918e-05
lightgbm_full,0.04,0.040300546448087435,0.00030054644808743397
lightgbm_full,0.05,0.0546448087431694,0.004644808743169394
lightgbm_full,0.1,0.1168032786885246,0.01680327868852459
lightgbm_full,0.15,0.16188524590163936,0.011885245901639363
lightgbm_full,0.2,0.24453551912568305,0.04453551912568304
lightgbm_full,0.25,0.28005464480874315,0.030054644808743147
lightgbm_full,0.3,0.34289617486338797,0.04289617486338798
lightgbm_full,0.35,0.38524590163934425,0.03524590163934427
lightgbm_full,0.4,0.4248633879781421,0.024863387978142082
lightgbm_full,0.45,0.4576502732240437,0.007650273224043713
lightgbm_full,0.5,0.47882513661202186,-0.021174863387978138
lightgbm_full,0.55,0.5102459016393442,-0.0397540983606558
lightgbm_full,0.6,0.5450819672131147,-0.05491803278688523
lightgbm_full,0.65,0.5942622950819673,-0.05573770491803276
lightgbm_full,0.7,0.6366120218579235,-0.06338797814207642
lightgbm_full,0.75,0.6687158469945356,-0.08128415300546443
lightgbm_full,0.8,0.7213114754098361,-0.07868852459016396
lightgbm_full,0.85,0.787568306010929,-0.062431693989071
lightgbm_full,0.9,0.8510928961748634,-0.04890710382513663
lightgbm_full,0.95,0.9166666666666666,-0.033333333333333326
lightgbm_full,0.96,0.9371584699453552,-0.022841530054644732
lightgbm_full,0.97,0.9542349726775956,-0.015765027322404368
lightgbm_full,0.98,0.9713114754098361,-0.008688524590163893
lightgbm_full,0.99,0.9877049180327869,-0.002295081967213064
